id,Cultivar_Name,P,feature
802,Hwacheongbyeo,Milyang64, 
803,Huji280,Pi No.5, 
804,Huji280,Reimei, 
805,HR28021,Unkwang, 
806,HR28021,SR31206-12, 
807,HR25425,HR23609 x Unkwang, 
808,HR25425,HR17829, 
809,HR24787-26-5-2,HR21036-B-105-4, 
810,HR24787-26-5-2,HR20376-20-B-4, 
811,HR24670-9-3-1,Suweon345,SUWEON345*6
812,HR24670-9-3-1,IRBB21,SUWEON345*6
813,HR23966-22-1-2,Suweon345,SUWEON345*4
814,HR23966-22-1-2,IRBB5,SUWEON345*4
815,HR23609 x Unkwang,HR23609, 
816,HR23609 x Unkwang,Unkwang, 
817,HR23609,HR22646, 
818,HR23609,Sambeagbyeo, 
819,HR23156,Jinbubyeo, 
820,HR23156,Unkwang, 
821,HR22538-GHB-36-4,Daepyeong, 
822,HR22538-GHB-36-4,YR21258-GH3, 
823,HR21124-B-59,Junam, 
824,HR21124-B-59,HR15151-B-21-3, 
825,HR21050-B-50-1,Junam, 
826,HR21050-B-50-1,HR17261-B-20, 
827,HR21036-B-105-4,Junam,Junam*2
828,HR21036-B-105-4,HR14027-36-2-1-1,Junam*2
829,HR20376-20-B-4,Sindongjin, 
830,HR20376-20-B-4,YR18114-Acp19, 
831,HR18129-B-16-1-4,Sindongjin, 
832,HR18129-B-16-1-4,HR14027-36-1 x Sobi, 
833,HR17870,Sobi, 
834,HR17870,Sangju17, 
835,HR17829,Hwayeongbyeo, 
836,HR17829,Fukei126, 
837,HR17261-B-20,HR14018-B-17-10, 
838,HR17261-B-20,Iksan429, 
839,HR1702-65-3-4,Satominori, 
840,HR1702-65-3-4,HR1308-13, 
841,HR16683-46-3-1,Sangjubyeo, 
842,HR16683-46-3-1,Unbong17, 
843,HR15490-34,Nampyeongbyeo, 
844,HR15490-34,Sinunbongbyeo, 
845,HR15204-38-3,Suweon345*4, 
846,HR15204-38-3,DV85, 
847,HR15151,HR11752, 
848,HR15151,HR11306, 
849,HR15003-69-B-3,Hwayeongbyeo, 
850,HR15003-69-B-3,Dongjinbyeo x Milyang95, 
851,HR14834-11-4-3-4,Hwayeongbyeo, 
852,HR14834-11-4-3-4,Tamjinbyeo x Sinseonchalbyeo*2, 
853,HR14732-B-67-2-3,Hapcheon1, 
854,HR14732-B-67-2-3,Hwayeongbyeo, 
855,HR14732,Hwayeongbyeo, 
856,HR14732,Hapchun 1, 
857,HR14700,Ilmibyeo, 
858,HR14700,HR11735 x Dongjinbyeo, 
859,HR14180-6-3-2,Milyang95, 
860,HR14180-6-3-2,Ilpumbyeo x Sinseonchalbyeo, 
861,HR14073,Dongjinbyeo, 
862,HR14073,YR11423-10-3, 
863,HR14027-36-2-1-1,Hwayeongbyeo, 
864,HR14027-36-2-1-1,Dongjinbyeo Mutant, 
865,HR14027-36-1 x Sobi,HR14027-36-1, 
866,HR14027-36-1 x Sobi,Sobi, 
867,HR14027-36-1,Hwayeongbyeo, 
868,HR14027-36-1,Dongjinbyeo Mutant, 
869,HR14026-B-B-B-6-1-5,Hwayeongbyeo, 
870,HR14026-B-B-B-6-1-5,HR1280-AC21, 
871,HR14026-B-68-6-1-5,Hwayeongbyeo, 
872,HR14026-B-68-6-1-5,HR12800-AC21, 
873,HR14018-B-1-1 x Sobi,HR14018-B-1-1, 
874,HR14018-B-1-1 x Sobi,Sobi, 
875,HR14018-B-1-1,Hwayeongbyeo, 
876,HR14018-B-1-1,YR13604-Acp22, 
877,HR1276-7,Kimmaze, 
878,HR1276-7,Milyang15, 
879,HR11735 x Dongjinbyeo,HR11735, 
880,HR11735 x Dongjinbyeo,Dongjinbyeo, 
881,HR11735,Mangeumbyeo, 
882,HR11735,Milyang95, 
883,HR11299-B-B-52,Milyang95, 
884,HR11299-B-B-52,Ou316, 
885,Hopum x HR24670-9-3-1,Hopum, 
886,Hopum x HR24670-9-3-1,HR24670-9-3-1, 
887,Hopum,Sindongjin,JUNAM*2
888,Hopum,Junam,JUNAM*2
889,HONGJINJU,SR18164F2, 
890,HONGJINJU,Juanbyeo, 
891,Hokuriku174,Shuu4885, 
892,Hokuriku174,Shuu4695, 
893,Hokuriku109,Todorokiwase x Fuji170, 
894,Hokuriku109,Inabawase, 
895,Hokuriku100 x Nagoyutaka,Hokuriku100, 
896,Hokuriku100 x Nagoyutaka,Nagoyutaka, 
897,Hokuriku100,Koshihikari,gamma ray
898,Hitomebore,Koshihikari, 
899,Hitomebore,Hatsuboshi, 
900,Heugsujeong,Heughyang, 
901,Heugsujeong,HR14834-11-4-3-4, 
902,Heugnambyeo,Tamjinbyeo, 
903,Heugnambyeo,Sanghaehyanghyeola, 
904,Heugjinmi,Boseogheugchal, 
905,Heugjinmi,HONGJINJU, 
906,Heughyang,Mangeumbyeo, 
907,Heughyang,SX864, 
908,Hatsunishiki,Norin22, 
909,Hatsunishiki,Norin1, 
910,Hatsuboshi,Koshihikari, 
911,Hatsuboshi,Nov-40, 
912,Hanmaeum,Junam, 
913,Hanmaeum,YR16365-Acp13 x Sindongjin, 
914,Hangaru,Daeripbyeo1, 
915,Hangaru,Seolgaeng, 
916,Hanareumchal,Odorokimochi, 
917,Hanareumchal,Hanareum, 
918,Hanareum,Namcheonbyeo, 
919,Hanareum,Dasanbyeo, 
920,Hanareum4,Geumgangbyeo, 
921,Hanareum4,Hanareum, 
922,Hanareum3,Hanareum, 
923,Hanareum3,Milyang216 x Hanareum, 
924,Hanareum,Namcheonbyeo, 
925,Hanareum,Dasanbyeo, 
926,Hamaasahi x SR12234-54-1,Hamaasahi, 
927,Hamaasahi x SR12234-54-1,SR12234-54-1, 
928,Haepyeong,Akichikara, 
929,Haepyeong,Hwayeongbyeo, 
932,Haedeul,Gopum, 
933,Haedeul,Gangwon4, 
934,Haedamssal,YR25779 x Koshihikari, 
935,Haedamssal,Unkwang x YR25779, 
936,Gyeonggi5,Samkwang,SAMKWANG*2
937,Gyeonggi5,Jojeongdo,SAMKWANG*2
938,Gyehwa24,Sindongjin x HR13743-45-B-3-3-2, 
939,Gyehwa24,HR20577-B-1-2-5, 
940,Gyehwa21 x Junam,Gyehwa21, 
941,Gyehwa21 x Junam,Junam, 
942,Gyehwa17,Iri399, 
943,Gyehwa17,Hwanambyeo, 
944,Gurubyeo,Guemobyeo, 
945,Gurubyeo,Cheolweon42, 
946,Gopum,((((SR4085 x Shimokita) x Kanto PL1) x 6542-B3) x Suweon366), 
947,Gopum,(54BC-68 x Iri369), 
948,Goamibyeo,Ilpumbyeo x Kimcheonangmi, 
949,Goamibyeo,Milyang95, 
950,Goami2,Ilpumbyeo,<MNU>
951,Ginkki45 x Ginkki11,Ginkki45, 
952,Ginkki45 x Ginkki11,Ginkki11, 
953,Geumgangbyeo,Suweon232, 
954,Geumgangbyeo,IR24, 
955,Geumgang1,Dasan1, 
956,Geumgang1,Geumgangbyeo, 
957,Geonyang2,Chugoku173, 
958,Geonyang2,Jumambyeo, 
959,Gayabyeo,Milyang21 x IR32, 
960,Gayabyeo,Milyang23 x Milyang30, 
961,Gangwon4,Hitomebore, 
962,Gangwon4,Jinbubyeo, 
963,Gangbaek,Suweon345,Suweon345*5
964,Gangbaek,DV85,Suweon345*5
965,Fukunishiki,54 BC-68, 
966,Fukunishiki,Hatsunishiki, 
967,Hukuhikari,Koshihikari, 
968,Hukuhikari,Fukunishiki, 
969,Dongjinchalbyeo,Toyonishiki, 
970,Dongjinchalbyeo,Milyang95 x SR11155-4-2, 
971,Dongjinbyeo x Saikai152,Dongjinbyeo, 
972,Dongjinbyeo x Saikai152,Saikai152, 
973,Dongjinbyeo x Milyang95,Dongjinbyeo, 
974,Dongjinbyeo x Milyang95,Milyang95, 
975,Dongjinbyeo x HR1590,Dongjinbyeo, 
976,Dongjinbyeo x HR1590,HR1590, 
977,Dongjinbyeo x Hokuriku111,Dongjinbyeo, 
978,Dongjinbyeo x Hokuriku111,Hokuriku111, 
979,Dongjinbyeo,HR1276-7, 
980,Dongjinbyeo,Satominori, 
981,Dongjin1,Hwayeongbyeo, 
982,Dongjin1,HR12800-AC21, 
983,Dongbugna149,Jungbuna57, 
984,Dongbugna149,Tachimimochi, 
985,Dodamssal,Goamibyeo, 
986,Dodamssal,Goami2, 
987,Deuraechan x YR28322,Deuraechan, 
988,Deuraechan x YR28322,YR28322, 
989,Deuraechan,Sindongjin x YR19105-Acp222, 
990,Deuraechan,Junam, 
991,Deulaehyang,Mipum, 
992,Deulaehyang,Mihyangbyeo, 
993,Dasanbyeo x YR18241-B-B-47-1 x YR18241-B-B-210-1,Dasanbyeo, 
994,Dasanbyeo x YR18241-B-B-47-1 x YR18241-B-B-210-1,YR18241-B-B-47-1 x YR18241-B-B-210-1, 
995,Dasan1,Bengal, 
996,Dasan1,Yongjubyeo x Dasanbyeo, 
997,Dahyangheungmi,Sanghaehanghella,Mutant(Sodium azide)
998,Daeseongbyeo,Minehikari, 
999,Daeseongbyeo,Huji280, 
1000,Daeripbyeo1,Nipponmasari ms, 
1001,Daeripbyeo1,BG29, 
1002,Daejinbyeo,Daseseongbyeo, 
1003,Daejinbyeo,Seomjinbyeo, 
1004,Dabo,Yeongdeog31, 
1005,Dabo,Junam, 
1006,CW92MR,SR32209, (Cheolweon 92)
1007,CW92MR,SR32210, (Cheolweon 92)
1008,Cp231 x SL017,Cp231, 
1009,Cp231 x SL017,SL017, 
1010,Congshengla x Hwaseongbyeo,Congshengla, 
1011,Congshengla x Hwaseongbyeo,Hwaseongbyeo, 
1012,Chunggyena8 x Fujiminori,Chunggyena8, 
1013,Chunggyena8 x Fujiminori,Fujiminori, 
1014,Chukei830,Mineyutaka x Chugoku65, 
1015,Chukei830,Chugoku45, 
1016,Chukei1016,Chugoku56, 
1017,Chukei1016,Chugoku61, 
1018,Chugwang x Hukkei123,Chugwang, 
1019,Chugwang x Hukkei123,Hukkei123, 
1020,Chugoku45 x Mineyudaka,Chugoku45, 
1021,Chugoku45 x Mineyudaka,Mineyudaka, 
1022,Chucheong x Seomijin,Chucheong, 
1023,Chucheong x Seomijin,Seomijin, 
1024,Chindeul,HR22538-GHB-36-4, 
1025,Chindeul,Dongjin2, 
1026,Chilbo,Haepyeong, 
1027,Chilbo,Koshihikari, 
1028,Cheonmabyeo x Hamamasahi,Cheonmabyeo, 
1029,Cheonmabyeo x Hamamasahi,Hamamasahi, 
1030,Cheonmabyeo x Hamaasahi,Cheonmabyeo, 
1031,Cheonmabyeo x Hamaasahi,Hamaasahi, 
1032,Cheonmabyeo,BL7, 
1033,Cheonmabyeo,Nongbaeg, 
1034,Cheongwoo,Mogwoo, 
1035,Cheongwoo,Gayabyeo, 
1036,Cheongun,Geuman, 
1037,Cheongun,Milyang192, 
1038,Cheongpum,Jinbo, 
1039,Cheongpum,Samkwang, 
1040,Cheonghyangheukmi,Josaengheugchal, 
1041,Cheonghyangheukmi,HR14180-6-3-2, 
1042,Cheongho,Hwasinbyeo, 
1043,Cheongho,Iri417, 
1044,Cheolweon54,Hamaasahi x SR12234-54-1, 
1045,Cheolweon54,Cheonmabyeo, 
1046,Cheolweon50,Cheolweon47, 
1047,Cheolweon50,Namyang9, 
1048,Cheolweon47,Suweon302, 
1049,Cheolweon47,Yamayudaka, 
1050,Cheolweon46,Aichi37, 
1051,Cheolweon46,Cheonmabyeo, 
1052,Cheolweon42,Fuji280, 
1053,Cheolweon42,BL1, 
1054,Cheolweon35,Minehikari, 
1055,Cheolweon35,Fuji280, 
1056,Calrose x Kinuhikari,Calrose, 
1057,Calrose x Kinuhikari,Kinuhikari, 
1058,Boseogheugchal,(Hwaseonchalbyeo x Shinseonchalbyeo) x Sanghaehyanghyeolna, 
1059,Boseogheugchal,HeukmiH31, 
1060,Boramchan,HR21124-B-59, 
1061,Boramchan,Gyehwa24, 
1062,Boramchal,Hopum, 
1063,Boramchal,Baegseolchal, 
1066,Bodrami,Hwaseongbyeo, 
1067,Bodrami,Congshengla x Hwaseongbyeo, 
1068,BL7,Milek Kuning,Fujisaka5*5
1069,BL7,Fujisaka5,Fujisaka5*5
1070,Baegseolchal,Sobi, 
1071,Baegseolchal,Dongjinchalbyeo, 
1072,Baegilmi,Koshihikari,Mutant(Ethyl methanesulfonate)
1073,Aya,Tohoku43, 
1074,Aya,Kitaake, 
1075,Asominori,Saikai85 x Saikai59, 
1076,Asominori,Sachikase, 
1077,Asemi1ho,IR77863-95-2-3, (Suweon576)
1078,Asemi1ho,IR71667-19-4-2-4, (Suweon576)
1079,Asemi,Jinmibyeo, 
1080,Asemi,Cheolweon46, 
1081,Aromi,Saeilmi, 
1082,Aromi,Princess Sari, 
1083,Anpyeong,YR24982-9-1, 
1084,Anpyeong,Saeilmi, 
1085,Andabyeo x IR71190-45-2,Andabyeo, 
1086,Andabyeo x IR71190-45-2,IR71190-45-2, 
1087,Andabyeo,Yongmunbyeo, 
1088,Andabyeo,SR14502F2, 
1089,Alchanmi,Junam, 
1090,Alchanmi,Chilbo, 
1091,Akidagomachi,Koshihikari, 
1092,Akidagomachi,Ou292, 
1093,Akichikara,Hokuriku101, 
1094,Akichikara,Akihikari, 
1095,Aichi37,Aichi6, 
1096,Aichi37,Gwandong98, 
1097,54BC-68 x Iri369,54BC-68, 
1098,54BC-68 x Iri369,Iri369, 
1099,54BC-68,Ginkki45 x Ginkki11, 
1100,54BC-68,Zenith, 
1101,54 BC-68,Kinki45 x Kinki11, 
1102,54 BC-68,Zenith, 
1103,(YR21247-B-B-B-49-1 x Sasanishiki BL4) x Hitomebore,YR21247-B-B-B-49-1 x Sasanishiki BL4, 
1104,(YR21247-B-B-B-49-1 x Sasanishiki BL4) x Hitomebore,Hitomebore, 
1105,(YR21247-B-B-B-49-1 x Sasanishiki BL4) x Akidagomachi,YR21247-B-B-B-49-1 x Sasanishiki BL4, 
1106,(YR21247-B-B-B-49-1 x Sasanishiki BL4) x Akidagomachi,Akidagomachi, 
1107,(Hwaseonchalbyeo x Shinseonchalbyeo) x Sanghaehyanghyeolna,Hwaseonchalbyeo x Shinseonchalbyeo, 
1108,(Suweon261 x IR29) x (Milyang23 x Milyang46),Suweon261 x IR29, 
1109,(Suweon261 x IR29) x (Milyang23 x Milyang46),Milyang23 x Cheongcheongbyeo, 
1110,(Suweon216 x IR29) x (Milyang23 x Milyang46),Suweon216 x IR29, 
1111,(Suweon216 x IR29) x (Milyang23 x Milyang46),Milyang23 x Cheongcheongbyeo, 
1112,(SR4085 x Shimokita) x Kanto PL1,SR4085 x Shimokita, 
1113,(SR4085 x Shimokita) x Kanto PL1,KantoPL1, 
1114,(Sindongjin x Junghwabyeo) x Seomjinbyeo,Sindongjin x Junghwabyeo, 
1115,(Sindongjin x Junghwabyeo) x Seomjinbyeo,Seomjinbyeo, 
1116,(Sindongjin x Sangju13) x Seomjinbyeo,Sindongjin x Sangju13, 
1117,(Sindongjin x Sangju13) x Seomjinbyeo,Seomjinbyeo, 
1118,(HR14018-B-1-1 x Sobi) x Sindongjin,HR14018-B-1-1 x Sobi, 
1119,(HR14018-B-1-1 x Sobi) x Sindongjin,Sindongjin, 
1120,(Cp231 x SL017) x Sigadis,Cp231 x SL017, 
1121,(Cp231 x SL017) x Sigadis,Sigadis, 
1122,(Chucheong x Seomijin) x Seomijin,Seomijin, 
1123,(Chucheong x Seomijin)x Seomijin,Chucheong x Seomijin, 
1124,((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42,Milyang42, 
1125,((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42,(Suweon261 x IR29) x (Milyang23 x Milyang46), 
1126,((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42,(Suweon261 x IR29) x (Milyang23 x Milyang46), 
1127,((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42,Milyang42, 
1128,((Suweon216 x IR29) x (Milyang23 x Milyang26)) x Milyang42,((Suweon216 x IR29) x (Milyang23 x Milyang26)), 
1129,((Suweon216 x IR29) x (Milyang23 x Milyang26)) x Milyang42,Milyang42, 
1130,((SR4085 x Shimokita) x Kanto PL1) x 6542-B3,((SR4085 x Shimokita) x Kanto PL1), 
1131,((SR4085 x Shimokita) x Kanto PL1) x 6542-B3,6542-B3, 
1132,(((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42) x Suweon318,Suweon318, 
1133,(((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42) x Suweon318,((Suweon261 x IR29) x (Milyang23 x Milyang46)) x Milyang42, 
1134,(((SR4085 x Shimokita) x Kanto PL1) x 6542-B3) x Suweon366,(((SR4085 x Shimokita) x Kanto PL1) x 6542-B3), 
1135,(((SR4085 x Shimokita) x Kanto PL1) x 6542-B3) x Suweon366,Suweon366, 
1136,2067,Pebihun x Kanto98, 
1137,2067,Kanto100, 
1138,YR22517-Acp79(ge),Sangjuchalbyeo, 
1139,YR22517-Acp79,Sangjuchalbyeo, 
1140,Jodam,Unkwang, 
1141,Jodam,HR25425, 
1142,SR11878-14-4-1,Samnambyeo, 
1143,SR11878-14-4-1,Kurota, 
1144,YR6978,Koshihikari, 
1145,YR6978,Seonam,
1146,Jungsan,Sambeagbyeo,
1147,Jungsan,Joryeongbyeo,
1148,YR24263Acp53-1,Samdeog,
1149,YR24263Acp53-1,Nampyeongbyeo,
1150,Yeongdeogbyeo,Nakdongbyeo, 
1151,Yeongdeogbyeo,2067, 

