id,Cultivar_Name,P,feature
325,Shinpyeong,YR24263Acp53-1, 
326,Shinkwang,Milyang21 x HR963, 
327,Shinkwang,Pungsanbyeo, 
328,Shingeumobyeo,Milyang71, 
329,Shingeumobyeo,Cheolweon35, 
330,Seonpum,Junam, (Suweon554)
331,Seonpum,Iksan457 x SR21097-B-B-19-2-2, (Suweon554)
332,Seongsan,Jopyeong, 
333,Seongsan,Sangju40, 
334,Seomjinbyeo x (Sindongjin x Junghwabyeo),Seomjinbyeo, 
335,Seomjinbyeo x (Sindongjin x Junghwabyeo),(Sindongjin x Junghwabyeo), 
336,Seomjinbyeo,Milyang20, 
337,Seomjinbyeo,Asominori, 
338,Seomjin x Tohoku144,Seomijin, 
339,Seomjin x Tohoku144,Tohoku144, 
340,Seomjin,Milyang20, 
341,Seomjin,Asominori, 
342,Seolhyang x Koshihikari,Seolhyang, 
343,Seolhyang x Koshihikari,Koshihikari, 
344,Seolgaeng,Ilpumbyeo,MNU
345,Seohyangchal,Miyagaori,SUWEON357*2
346,Seohyangchal,Suweon357,SUWEON357*2
347,Senpidao,IET10346, 
348,Senpidao,IR54950-181-2-1-2-3, 
349,Sasanishiki BL4,Sasanishiki,SASANISHIKI*5
350,Sasanishiki BL4,76F6-88,SASANISHIKI*5
351,Sasanishiki,Hatsunishiki, 
352,Sasanishiki,Sasashigure, 
353,Sanhomi,Sangmibyeo, 
354,Sanhomi,Saesangju x Hwayeongbyeo, 
355,Sangmibyeo,Sambeagbyeo, 
356,Sangmibyeo,Ou316, 
357,Sangjuchalbyeo,Sambeagbyeo, 
358,Sangjuchalbyeo,YR4200, 
359,Sangjubyeo x Ilpumbyeo,Sangjubyeo, 
360,Sangjubyeo x Ilpumbyeo,Ilpumbyeo, 
361,Sangjubyeo,Cheonmabyeo,
362,Sangjubyeo,Odaebyeo, 
363,Sangju48,Musashino7, 
364,Sangju48,Koshihikari x Dacheong, 
365,Sangju40,Sambeagbyeo, 
366,Sangju40,Ou329, 
367,Sangju27,Sambeagbyeo, 
368,Sangju27,Ou315, 
369,Saesangju x Hwayeongbyeo,Saesangju, 
370,Saesangju x Hwayeongbyeo,Hwayeongbyeo, 
371,Saesangju,Junghwabyeo, 
372,Saesangju,Sambeagbyeo, 
375,Sangju13,Fukei127, 
376,Sangju13,YR2404, 
377,Sangbo,Samdeog, 
378,Sangbo,Nampyeongbyeo, 
379,Samnambyeo,Fuji280, 
380,Samnambyeo,BL1, 
381,Samkwang1ho,Samkwang,SAMKWANG*2
382,Samkwang1ho,Suweon152,SAMKWANG*2
383,Samkwang,Suweon361, 
384,Samkwang,Hwayeongbyeo, 
385,Samdeog x Nampyeongbyeo,Samdeog, 
386,Samdeog x Nampyeongbyeo,Nampyeongbyeo, 
387,Samdeog,YR12733-B-B-5-1, 
388,Samdeog,Hwayeongbyeo, 
389,Samcheonbyeo,Unbongbyeo, 
390,Samcheonbyeo,Fukei126, 
391,Saikai85 x Saikai59,Saikai85, 
392,Saikai85 x Saikai59,Saikai59, 
393,Saikai PL1,Chugoku45, 
394,Saikai PL1,Chubu2, 
395,Saesin,Iksan469, 
396,Saesin,HR23966-22-1-2, 
397,Saeodae,Gurubyeo, 
398,Saeodae,Namil, 
399,Saenuri,HR14026-B-68-6-1-5, 
400,Saenuri,Gyehwa17, 
401,Saemimyeon,Hanareum, 
402,Saemimyeon,IR50 x YR22791, 
403,Saeilpum,Ilpumbyeo,ILPUMBYEO*4
404,Saeilpum,SR30064-B2-B1-B8-20-2-1-61-21,ILPUMBYEO*4
405,Saeilmi,Ilmibyeo,HWAYEONGBYEO*4
406,Saeilmi,Hwayeongbyeo,HWAYEONGBYEO*4
407,Saegyewha,Ilpumbyeo, 
408,Saegyewha,Mangeumbyeo x Chukei830, 
409,Saechilbo,Kyehwa26, 
410,Saechilbo,Yeongdeog44, 
411,Raekyung,IR24, 
412,Raekyung,Suweon231, 
413,Pungsanbyeo,Milyang23, 
414,Pungsanbyeo,IR1545, 
415,Princess Sari,Kanto154, 
416,Princess Sari,Kanto150, 
